    STEP   AVACS   MODE1
       1   6.455   1.000
       2   6.484   1.000
       3   6.419   1.000
       4   6.302   1.000
       5   6.113   1.000
       6   5.739   1.000
       7   4.348   1.000
       8   5.977   1.000
       9   6.023   1.000
      10   6.014   1.000
      11   6.007   1.000
      12   5.993   1.000
      13   5.971   1.000
      14   5.871   1.000
      15   5.639   1.000
      16   4.536   1.000
      17   5.719   1.000
      18   6.659   1.000
      19   6.731   1.000
      20   7.056   1.000
      21   7.161   1.000
      22   7.200   1.000
      23   7.206   1.000
      24   7.183   1.000
      25   7.154   1.000
      26   7.056   1.000
      27   6.890   1.000
      28   6.515   1.000
      29   6.047   1.000
      30   5.388   1.000
      31   5.254   1.000
      32   5.647   1.000
      33   5.870   1.000
      34   5.698   1.000
      35   6.277   1.000
      36   6.390   1.000
