          S1          S2          D1          D2      angS      angD      angN
  0.2170E+00  0.2329E+01 -0.1429E-10  0.4294E+00     84.68     90.00     90.07
  0.2708E+00  0.2327E+01  0.3722E-01  0.4255E+00     83.36     85.00     85.09
  0.3287E+00  0.2319E+01  0.7418E-01  0.4207E+00     81.93     80.00     80.19
  0.3974E+00  0.2304E+01  0.1112E+00  0.4149E+00     80.21     75.00     75.30
  0.4884E+00  0.2275E+01  0.1484E+00  0.4077E+00     77.88     70.00     70.25
  0.6117E+00  0.2223E+01  0.1859E+00  0.3987E+00     74.62     65.00     66.22
  0.1226E+01  0.1884E+01  0.2228E+00  0.3859E+00     56.95     60.00     60.34
  0.1907E+01  0.1474E+01  0.2493E+00  0.3560E+00     37.70     55.00     53.62
  0.2005E+01  0.1399E+01  0.2723E+00  0.3245E+00     34.90     50.00     49.74
  0.2075E+01  0.1335E+01  0.2933E+00  0.2933E+00     32.74     45.00     44.73
  0.2128E+01  0.1278E+01  0.3125E+00  0.2622E+00     30.99     40.00     40.00
  0.2174E+01  0.1217E+01  0.3304E+00  0.2314E+00     29.25     35.00     34.90
  0.2211E+01  0.1160E+01  0.3472E+00  0.2005E+00     27.69     30.00     30.18
  0.2246E+01  0.1092E+01  0.3630E+00  0.1692E+00     25.94     25.00     25.24
  0.2282E+01  0.1006E+01  0.3777E+00  0.1375E+00     23.79     20.00     21.62
  0.2469E+01  0.3439E+00  0.3904E+00  0.1046E+00      7.93     15.00     14.54
  0.2558E+01 -0.2298E-01  0.3915E+00  0.6903E-01     -0.51     10.00      9.01
  0.2573E+01 -0.1357E+00  0.3904E+00  0.3416E-01     -3.02      5.00      5.10
  0.2578E+01 -0.2730E+00  0.3879E+00 -0.2515E-06     -6.04     -0.00      0.98
  0.2571E+01 -0.5787E+00  0.3815E+00 -0.3338E-01    -12.69     -5.00     -6.23
  0.2562E+01 -0.6496E+00  0.3737E+00 -0.6589E-01    -14.23    -10.00    -10.31
  0.2551E+01 -0.6982E+00  0.3652E+00 -0.9786E-01    -15.31    -15.00    -14.87
  0.2535E+01 -0.7488E+00  0.3562E+00 -0.1296E+00    -16.46    -20.00    -20.33
  0.2518E+01 -0.7883E+00  0.3465E+00 -0.1616E+00    -17.38    -25.00    -24.93
  0.2495E+01 -0.8322E+00  0.3360E+00 -0.1940E+00    -18.44    -30.00    -30.01
  0.2466E+01 -0.8779E+00  0.3246E+00 -0.2273E+00    -19.59    -35.00    -34.81
  0.2422E+01 -0.9356E+00  0.3119E+00 -0.2617E+00    -21.12    -40.00    -39.88
  0.2352E+01 -0.1010E+01  0.2974E+00 -0.2974E+00    -23.24    -45.00    -44.29
  0.2181E+01 -0.1166E+01  0.2801E+00 -0.3338E+00    -28.14    -50.00    -49.63
  0.1883E+01 -0.1393E+01  0.2582E+00 -0.3688E+00    -36.49    -55.00    -54.81
  0.1411E+01 -0.1693E+01  0.2302E+00 -0.3988E+00    -50.19    -60.00    -59.68
  0.7809E+00 -0.2034E+01  0.1945E+00 -0.4171E+00    -68.99    -65.00    -65.67
  0.4875E+00 -0.2155E+01  0.1560E+00 -0.4287E+00    -77.25    -70.00    -70.42
  0.1956E+00 -0.2243E+01  0.1167E+00 -0.4356E+00    -85.02    -75.00    -74.47
 -0.1053E+00 -0.2319E+01  0.7666E-01 -0.4347E+00    -92.60    -80.00    -81.37
 -0.1651E+00 -0.2327E+01  0.3784E-01 -0.4325E+00    -94.06    -85.00    -85.13
 -0.2170E+00 -0.2329E+01  0.1429E-10 -0.4294E+00    -95.32    -90.00    -89.93
 -0.2708E+00 -0.2327E+01 -0.3722E-01 -0.4255E+00    -96.64    -95.00    -94.91
 -0.3287E+00 -0.2319E+01 -0.7418E-01 -0.4207E+00    -98.07   -100.00    -99.81
