          Dvm          Svm          D11          D22          D33          D23          D13          D12             SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP    TAYLAV      WORKAV      WRATE1      WRATE2 
  0.81276E+00  0.29893E+01    -0.40825E+00 -0.40825E+00  0.81650E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.11519E+01 -0.83181E+00  0.19837E+01  0.29952E-01  0.85321E-02 -0.25230E-01        0.     2.430  0.0000E+00  0.2430E+01  0.2430E+01
  0.81599E+00  0.29941E+01    -0.46832E+00 -0.34507E+00  0.81339E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.11909E+01 -0.79131E+00  0.19823E+01  0.24832E-01  0.93341E-02 -0.23255E-01        0.     2.443  0.0000E+00  0.2443E+01  0.2443E+01
  0.81587E+00  0.29938E+01    -0.52483E+00 -0.27926E+00  0.80409E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.12304E+01 -0.74530E+00  0.19757E+01  0.24515E-01  0.83654E-02 -0.22315E-01        0.     2.443  0.0000E+00  0.2443E+01  0.2443E+01
  0.81298E+00  0.29872E+01    -0.57735E+00 -0.21132E+00  0.78868E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.12742E+01 -0.68796E+00  0.19621E+01  0.23408E-01  0.72634E-02 -0.20620E-01        0.     2.429  0.0000E+00  0.2429E+01  0.2429E+01
  0.80870E+00  0.29714E+01    -0.62547E+00 -0.14178E+00  0.76726E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.13284E+01 -0.60825E+00  0.19366E+01  0.14286E-01  0.83288E-02 -0.17110E-01        0.     2.403  0.0000E+00  0.2403E+01  0.2403E+01
  0.80497E+00  0.29424E+01    -0.66883E+00 -0.71162E-01  0.74000E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.13963E+01 -0.49496E+00  0.18912E+01  0.65558E-02  0.76543E-02 -0.16066E-01        0.     2.369  0.0000E+00  0.2369E+01  0.2369E+01
  0.81527E+00  0.28659E+01    -0.70711E+00 -0.16653E-15  0.70711E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.17030E+01  0.10163E+00  0.16013E+01 -0.56934E-02  0.54031E-02 -0.19901E-01        0.     2.337  0.0000E+00  0.2337E+01  0.2337E+01
  0.77952E+00  0.30774E+01    -0.74000E+00  0.71162E-01  0.66883E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.20330E+01  0.77830E+00  0.12547E+01  0.18715E-02  0.78030E-02 -0.20361E-01        0.     2.399  0.0000E+00  0.2399E+01  0.2399E+01
  0.78824E+00  0.31263E+01    -0.76726E+00  0.14178E+00  0.62547E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.20764E+01  0.88419E+00  0.11923E+01  0.49290E-02  0.71857E-02 -0.19380E-01        0.     2.464  0.0000E+00  0.2464E+01  0.2464E+01
  0.79783E+00  0.31582E+01    -0.78868E+00  0.21132E+00  0.57735E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.21029E+01  0.96421E+00  0.11387E+01  0.17366E-02  0.67339E-02 -0.20071E-01        0.     2.520  0.0000E+00  0.2520E+01  0.2520E+01
  0.80636E+00  0.31791E+01    -0.80409E+00  0.27926E+00  0.52483E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.21190E+01  0.10279E+01  0.10911E+01  0.23752E-02  0.64944E-02 -0.20442E-01        0.     2.564  0.0000E+00  0.2564E+01  0.2564E+01
  0.81232E+00  0.31935E+01    -0.81339E+00  0.34507E+00  0.46832E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.21286E+01  0.10884E+01  0.10402E+01  0.54681E-03  0.10780E-01 -0.21228E-01        0.     2.594  0.0000E+00  0.2594E+01  0.2594E+01
  0.81579E+00  0.32006E+01    -0.81650E+00  0.40825E+00  0.40825E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.21319E+01  0.11404E+01  0.99145E+00  0.19625E-02  0.96072E-02 -0.16367E-01        0.     2.611  0.0000E+00  0.2611E+01  0.2611E+01
  0.81635E+00  0.32020E+01    -0.81339E+00  0.46832E+00  0.34507E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.21292E+01  0.11954E+01  0.93375E+00  0.20127E-03  0.84630E-02 -0.15376E-01        0.     2.614  0.0000E+00  0.2614E+01  0.2614E+01
  0.81470E+00  0.31962E+01    -0.80409E+00  0.52483E+00  0.27926E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.21182E+01  0.12589E+01  0.85934E+00 -0.26002E-02  0.83685E-02 -0.89091E-02        0.     2.604  0.0000E+00  0.2604E+01  0.2604E+01
  0.81025E+00  0.31949E+01    -0.78868E+00  0.57735E+00  0.21132E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.19737E+01  0.16799E+01  0.29384E+00 -0.17347E-02 -0.18099E-01  0.26306E-02        0.     2.589  0.0000E+00  0.2589E+01  0.2589E+01
  0.80270E+00  0.32816E+01    -0.76726E+00  0.62547E+00  0.14178E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.18845E+01  0.19042E+01 -0.19645E-01  0.15792E-02 -0.28434E-01  0.12844E-03        0.     2.634  0.0000E+00  0.2634E+01  0.2634E+01
  0.80847E+00  0.33076E+01    -0.74000E+00  0.66883E+00  0.71162E-01  0.43296E-16  0.43296E-16  0.43296E-16    -0.18488E+01  0.19649E+01 -0.11610E+00  0.14617E-02 -0.19263E-01  0.38360E-02        0.     2.674  0.0000E+00  0.2674E+01  0.2674E+01
  0.81194E+00  0.33295E+01    -0.70711E+00  0.70711E+00  0.49994E-16  0.43296E-16  0.43296E-16  0.43296E-16    -0.17947E+01  0.20284E+01 -0.23371E+00  0.11010E-02 -0.11388E-01 -0.94217E-03        0.     2.703  0.0000E+00  0.2703E+01  0.2703E+01
  0.80914E+00  0.33860E+01    -0.66883E+00  0.74000E+00 -0.71162E-01  0.43296E-16  0.43296E-16  0.43296E-16    -0.16592E+01  0.21550E+01 -0.49576E+00 -0.21563E-02 -0.13301E-01  0.33279E-02        0.     2.740  0.0000E+00  0.2740E+01  0.2740E+01
  0.81424E+00  0.33974E+01    -0.62547E+00  0.76726E+00 -0.14178E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.16229E+01  0.21796E+01 -0.55669E+00 -0.22284E-02 -0.17192E-01  0.63618E-04        0.     2.766  0.0000E+00  0.2766E+01  0.2766E+01
  0.81642E+00  0.34007E+01    -0.57735E+00  0.78868E+00 -0.21132E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.15944E+01  0.21929E+01 -0.59848E+00 -0.33287E-02 -0.23560E-01  0.14044E-02        0.     2.776  0.0000E+00  0.2776E+01  0.2776E+01
  0.81481E+00  0.33986E+01    -0.52483E+00  0.80409E+00 -0.27926E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.15606E+01  0.22024E+01 -0.64180E+00 -0.56654E-02 -0.33524E-01 -0.42095E-02        0.     2.769  0.0000E+00  0.2769E+01  0.2769E+01
  0.80913E+00  0.33919E+01    -0.46832E+00  0.81339E+00 -0.34507E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.15309E+01  0.22062E+01 -0.67536E+00 -0.72183E-02 -0.36320E-01 -0.97429E-02        0.     2.744  0.0000E+00  0.2744E+01  0.2744E+01
  0.79976E+00  0.33787E+01    -0.40825E+00  0.81650E+00 -0.40825E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.14939E+01  0.22063E+01 -0.71243E+00 -0.97937E-02 -0.39073E-01 -0.10503E-01        0.     2.702  0.0000E+00  0.2702E+01  0.2702E+01
  0.78697E+00  0.33589E+01    -0.34507E+00  0.81339E+00 -0.46832E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.14511E+01  0.22019E+01 -0.75080E+00 -0.11843E-01 -0.41074E-01  0.47302E-03        0.     2.643  0.0000E+00  0.2643E+01  0.2643E+01
