        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.81276E+00  0.29893E+01        0.271    0.084    0.297    0.269    0.372    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81599E+00  0.29941E+01        0.273    0.084    0.273    0.267    0.359    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81587E+00  0.29938E+01        0.273    0.084    0.246    0.266    0.346    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81298E+00  0.29872E+01        0.270    0.086    0.215    0.268    0.331    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80870E+00  0.29714E+01        0.265    0.089    0.177    0.273    0.309    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80497E+00  0.29424E+01        0.250    0.092    0.143    0.281    0.289    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81527E+00  0.28659E+01        0.281    0.133    0.098    0.286    0.318    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.77952E+00  0.30774E+01        0.164    0.099    0.070    0.250    0.363    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.78824E+00  0.31263E+01        0.130    0.105    0.064    0.237    0.352    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.79783E+00  0.31582E+01        0.112    0.115    0.055    0.225    0.331    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80636E+00  0.31791E+01        0.103    0.123    0.051    0.213    0.311    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81232E+00  0.31935E+01        0.094    0.127    0.047    0.200    0.291    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81579E+00  0.32006E+01        0.091    0.132    0.050    0.187    0.272    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81635E+00  0.32020E+01        0.088    0.135    0.057    0.172    0.255    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81470E+00  0.31962E+01        0.087    0.137    0.063    0.149    0.236    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81025E+00  0.31949E+01        0.121    0.194    0.082    0.239    0.210    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80270E+00  0.32816E+01        0.129    0.195    0.098    0.358    0.216    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80847E+00  0.33076E+01        0.127    0.180    0.109    0.388    0.228    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81194E+00  0.33295E+01        0.125    0.118    0.117    0.408    0.237    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80914E+00  0.33860E+01        0.126    0.136    0.129    0.408    0.231    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81424E+00  0.33974E+01        0.129    0.144    0.135    0.406    0.219    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81642E+00  0.34007E+01        0.130    0.149    0.141    0.404    0.211    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81481E+00  0.33986E+01        0.135    0.160    0.150    0.401    0.198    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80913E+00  0.33919E+01        0.138    0.167    0.157    0.401    0.189    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.79976E+00  0.33787E+01        0.144    0.174    0.169    0.399    0.178    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.78697E+00  0.33589E+01        0.150    0.185    0.179    0.398    0.168    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.77237E+00  0.33266E+01        0.161    0.198    0.190    0.396    0.158    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.75814E+00  0.32752E+01        0.178    0.216    0.197    0.398    0.158    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.75760E+00  0.31580E+01        0.216    0.243    0.184    0.399    0.197    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.77405E+00  0.29867E+01        0.267    0.275    0.195    0.400    0.283    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80434E+00  0.28066E+01        0.311    0.278    0.248    0.398    0.384    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.81412E+00  0.27749E+01        0.225    0.179    0.295    0.515    0.405    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80927E+00  0.28168E+01        0.194    0.143    0.336    0.557    0.398    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80359E+00  0.28712E+01        0.219    0.115    0.354    0.443    0.404    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.79657E+00  0.29624E+01        0.264    0.088    0.335    0.281    0.391    0.000        0.000    0.000    0.000    0.000    0.000    0.000
  0.80603E+00  0.29796E+01        0.269    0.086    0.315    0.272    0.381    0.000        0.000    0.000    0.000    0.000    0.000    0.000
